Author,Genre,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Melissa Hartwig Urban,Non Fiction,0,0,0,0,0,0,1,2,3,0,0
Michael Lewis,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Michael Pollan,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Michael Wolff,Non Fiction,0,0,0,0,0,0,0,0,0,1,0
Michelle Obama,Non Fiction,0,0,0,0,0,0,0,0,0,1,2
Mike Moreno,Non Fiction,0,0,1,0,0,0,0,0,0,0,0
Mitch Albom,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Muriel Barbery,Fiction,1,0,0,0,0,0,0,0,0,0,0
Naomi Kleinberg,Non Fiction,0,0,0,0,0,0,0,0,0,1,2
Nathan W. Pyle,Fiction,0,0,0,0,0,0,0,0,0,0,1
National Geographic Kids,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Neil deGrasse Tyson,Non Fiction,0,0,0,0,0,0,0,0,1,0,0
Paper Peony Press,Non Fiction,0,0,0,0,0,0,0,0,0,1,0
Patrick Lencioni,Non Fiction,1,2,3,4,5,0,0,0,0,0,0
Patrick Thorpe,Fiction,0,0,0,0,1,0,0,0,0,0,0
Paul Kalanithi,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
Paula Hawkins,Fiction,0,0,0,0,0,0,1,2,0,0,0
Paula McLain,Fiction,0,0,1,0,0,0,0,0,0,0,0
Paulo Coelho,Fiction,0,0,0,0,0,1,0,0,0,0,0
Pete Souza,Non Fiction,0,0,0,0,0,0,0,0,1,0,0
Peter A. Lillback,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Phil Robertson,Non Fiction,0,0,0,0,1,0,0,0,0,0,0
Pierre Dukan,Non Fiction,0,0,1,0,0,0,0,0,0,0,0
Pretty Simple Press,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
R. J. Palacio,Fiction,0,0,0,0,1,2,3,4,5,0,0
RH Disney,Fiction,0,0,0,0,0,1,0,0,0,0,0
Rachel Hollis,Non Fiction,0,0,0,0,0,0,0,0,0,1,2
Raina Telgemeier,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Randall Munroe,Non Fiction,0,0,0,0,0,1,0,0,0,0,0
Randy Pausch,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Ray Bradbury,Fiction,0,0,0,0,0,0,0,1,0,2,0
Rebecca Skloot,Non Fiction,0,1,2,3,0,0,0,0,0,0,0
Ree Drummond,Non Fiction,0,0,0,1,2,0,3,0,0,0,0
Rick Riordan,Fiction,1,2,6,8,10,11,0,0,0,0,0
Rob Bell,Non Fiction,0,0,1,0,0,0,0,0,0,0,0
Rob Elliott,Non Fiction,0,0,0,0,1,3,5,7,8,0,0
Robert Jordan,Fiction,0,1,0,0,0,0,0,0,0,0,0
Robert Munsch,Fiction,0,0,0,0,0,1,2,0,0,0,0
Rod Campbell,Fiction,0,0,0,0,0,0,1,2,3,4,0
Roger Priddy,Non Fiction,0,0,0,0,0,1,2,3,4,5,0
Ron Chernow,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
Rupi Kaur,Non Fiction,0,0,0,0,0,0,0,1,2,4,0
Rush Limbaugh,Fiction,0,0,0,0,1,2,0,0,0,0,0
Samin Nosrat,Non Fiction,0,0,0,0,0,0,0,0,0,1,2
Sandra Boynton,Fiction,0,0,0,0,0,0,0,1,2,0,0
Sara Gruen,Fiction,0,0,1,0,0,0,0,0,0,0,0
Sarah Palin,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Sarah Young,Non Fiction,0,0,1,2,3,4,5,6,0,0,0
Sasha O'Hara,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
Scholastic,Fiction,0,0,0,0,0,0,0,2,0,0,0
Scholastic,Non Fiction,0,0,0,0,0,0,1,0,0,0,0
School Zone,Non Fiction,0,0,0,0,0,0,0,0,0,1,2
Sherri Duskey Rinker,Fiction,0,0,0,1,2,0,0,0,0,0,0
Sheryl Sandberg,Non Fiction,0,0,0,0,1,0,0,0,2,0,0
Silly Bear,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Stephen Kendrick,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Stephen King,Fiction,1,0,2,0,4,0,0,0,0,0,0
Stephen R. Covey,Non Fiction,1,0,2,3,4,0,5,6,7,0,0
Stephenie Meyer,Fiction,2,7,0,0,0,0,0,0,0,0,0
Steve Harvey,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Steven D. Levitt,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Stieg Larsson,Fiction,1,3,6,0,0,0,0,0,0,0,0
Susan Cain,Non Fiction,0,0,0,1,2,0,0,0,0,0,0
Suzanne Collins,Fiction,0,1,7,9,0,0,0,0,0,0,0
Ta-Nehisi Coates,Non Fiction,0,0,0,0,0,0,1,2,0,0,0
Tara Westover,Non Fiction,0,0,0,0,0,0,0,0,0,1,2
Tatiana de Rosnay,Fiction,0,1,0,0,0,0,0,0,0,0,0
The College Board,Non Fiction,0,1,2,3,4,5,0,6,0,0,0
The Staff of The Late Show with,Non Fiction,0,0,0,0,0,0,0,0,0,1,0
The Washington Post,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Thomas Campbell,Non Fiction,0,0,1,0,0,0,0,0,0,0,0
Thomas Piketty,Non Fiction,0,0,0,0,0,1,0,0,0,0,0
Thug Kitchen,Non Fiction,0,0,0,0,0,1,2,3,4,0,0
Timothy Ferriss,Non Fiction,0,0,1,0,0,0,0,0,2,0,0
Tina Fey,Non Fiction,0,0,1,0,0,0,0,0,0,0,0
Todd Burpo,Non Fiction,0,0,1,2,0,0,0,0,0,0,0
Tony Hsieh,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Tucker Carlson,Non Fiction,0,0,0,0,0,0,0,0,0,1,0
Veronica Roth,Fiction,0,0,0,0,1,4,0,0,0,0,0
W. Cleon Skousen,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Walter Isaacson,Non Fiction,0,0,1,2,0,0,0,0,3,0,0
William Davis,Non Fiction,0,0,0,1,2,0,0,0,0,0,0
William P. Young,Fiction,1,0,0,0,0,0,0,0,2,0,0
Wizards RPG Team,Fiction,0,0,0,0,0,0,0,0,1,2,3
Zhi Gang Sha,Non Fiction,1,0,0,0,2,0,0,0,0,0,0
